Model,Hyperparams,MSE,MAE,$R^2$
Random Walk,,0.00011284176694608018,0.007125650558567425,
LASSO,alpha=0.0239,0.00011287521250147054,0.007125138757010211,-0.00029639340375031686
Ridge,alpha=1629.7508,0.00011371994719164844,0.007143601086970562,-0.0077824042403367155
Elastic Net,"alpha=0.0446, l1_ratio=0.50",0.00011289422847603069,0.007125509868803462,-0.0004649123402646893
Neural Net,hidden_layer=128,0.00018855282467429473,0.010117740767894061,-0.6709488851268341
